Structure,Molecule name,CAS,SMILES,ID_DB_source,,ID_DB maestra,ID_concatenada,DB source,DB subsource,Risk assessment class,Human eco,Species ,Exposure route,Standard value,LD50,LD50 units,MM (g/mol),Operación,pLD50,,Reference DB source,URL,,ToxVal_ID,Chemical_ID
,"1,2-Dibromoethane",106-93-4,BrCCBr,DTXSID3020415,,932,932_HPVIS,HPVIS,-,acute,human health,"other,rat, guinea pigs,mice and rabbits",oral,=,0.146,-,187.862,0.0000,6.1095,,"Dow Chemical Company. Toxicity of Ethylene Dibromide Determined in ExperimentalAnimals. Published report: A.M.A. Archives of Industrial Hygiene and Occupational Medicine, Vol. 6, 1952. Authors: V.K. Rowe, H.C. Spencer, D.D. McCollister, R.L. Hollingsworth and E.M. Adams. Testing Facility: Biochemical Research Department, DOW Chemical Company.",https://chemview.epa.gov/chemview/,,174655,ToxVal00045_7febda1e6bffe4e8
,"2,4,6-Tris(dimethylaminomethyl)phenol",90-72-2,CN(C)Cc(cc1CN(C)C)cc(CN(C)C)c1O,DTXSID5026548,,933,933_HPVIS,HPVIS,-,acute,human health,rat,oral,=,2400,mg/kg,265.399,0.0090,2.0437,,"Source: ANCHOR CHEMICAL(UK)LTD MANCHESTEREUROPEAN COMMISSION - European Chemicals Bureau Ispra (VA)Rohm & Haas Company, Summary of Toxicological Data on DMP -30, unpublished studies, APCI RRRS EXT-93/011",https://chemview.epa.gov/chemview/,,174656,ToxVal00045_263af2b08dcf13ef
,"1,3-Diphenylguanidine",102-06-7,N=C(Nc1ccccc1)Nc1ccccc1,DTXSID3025178,,934,934_HPVIS,HPVIS,-,acute,human health,rat,oral,~,500,mg/kg,211.267,0.0024,2.6259,,"Source: MLPC, Rion-des-Landes, FranceDieke SH, Allen GS and Richter CP (1947) The acute toxicityof thioureas and related compounds to wild and domesticNorway rats. J Pharm Exp Ther, 90, 260-270.",https://chemview.epa.gov/chemview/,,174657,ToxVal00045_00289779dd1f5a61
,Triethanolamine,102-71-6,OCCN(CCO)CCO,DTXSID9021392,,935,935_HPVIS,HPVIS,-,acute,human health,rat,oral,=,9.11,-,149.189,0.0001,4.2142,,"Smyth, H. F., Carpenter, C. P. and Weil, C. S. 1951.Range-finding toxicity data: List IV. Arc. Ind.Hyg. Occ. Med. 4: 119-22.",https://chemview.epa.gov/chemview/,,174660,ToxVal00045_62e9a6c560e8501d
,"Resin acids and Rosin acids, esters with pentaerythritol",8050-26-8,,DTXSID7027704,,936,936_HPVIS,HPVIS,-,acute,human health,rat,oral,>,1000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Hutchinson, A.M.K. 2002. Rosin, esters with pentaerythritol (CAS No. 8050-26-8) Acute Oral Toxicity (Up-and-Down Procedure) Test in Rats. Report Number 22003. Inveresk Research, Tranent, Scotland.",https://chemview.epa.gov/chemview/,,174662,ToxVal00045_aeb11e29361c11a1
,"2-Amino-2,3-dimethylbutanenitrile",13893-53-3,CC(C)C(C)(C#N)N,DTXSID2027759,,937,937_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,=,23,mg/kg,112.175,0.0002,3.6882,,"American Cyanamid Company (1983). Acute Dermal Toxicity of CL 94, 194 (Marcg 4) (cited in Cytec Industries, Inc. (2001). High Production Volume (HPV) Challenge Program Data Summary and Test Plan for 2-Amino-2,3-dimethylbutanenitrile (July), http://www.epa.gov/chemrtk/viewsrch.htm, accessed November 11, 2003. American Cyanamid Company (1988) TSCA fiche OTS0516617Posting dates of documents from HPV Challenge web site from which data have been entered into the HPVIS: Revised submission (summaries) posted August 25, 2006",https://chemview.epa.gov/chemview/,,174663,ToxVal00045_299e71fdb94bdec0
,"2,4,6-Tris(dimethylaminomethyl)phenol",90-72-2,CN(C)Cc(cc1CN(C)C)cc(CN(C)C)c1O,DTXSID5026548,,938,938_HPVIS,HPVIS,-,acute,human health,rat,oral,=,2169,mg/kg,265.399,0.0082,2.0876,,"APCI (Anchor Chemical Limited), Curing Agent K54 (BX352): Acute oral toxicity test in the rat, unpublished study, APCI RRRS EXT-92/042",https://chemview.epa.gov/chemview/,,174664,ToxVal00045_263af2b08dcf13ef
,"4,5,6,7-Tetrabromo-1,3-Isobenzofurandione",632-79-1,O=C(c(c1c(c(Br)c2Br)Br)c2Br)OC1=O,DTXSID6026084,,939,939_HPVIS,HPVIS,-,acute,human health,rat,oral,>,50,mg/kg,463.701,0.0001,3.9673,,"Yu, C.C., Y.H. Atallah. Photolysis of PHT-4. Velsicol Chemical Corp, laboratory report,project #484048, report #3. 14 Dec, 1978.msword",https://chemview.epa.gov/chemview/,,174665,ToxVal00045_ca90714ebb8ae83b
,N-Isopropyl-N'-phenyl-p-phenylenediamine,101-72-4,CC(C)Nc(cc1)ccc1Nc1ccccc1,DTXSID1025485,,940,940_HPVIS,HPVIS,-,acute,human health,rat,oral,=,900,mg/kg,226.322,0.0040,2.4005,,"Monsanto Y-73-287, Younger Laboratories, 1974",https://chemview.epa.gov/chemview/,,174666,ToxVal00045_2ba1dc5fc70ac475
,Dinoseb,88-85-7,CCC(C)c1cc([N+]([O-])=O)cc([N+]([O-])=O)c1O,DTXSID3020207,,941,941_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,=,40,mg/kg,240.214,0.0002,3.7785,,"Food & Drug Research Laboratories, Inc., The Acute Dermal LD50 Test of Test Article Dinoseb-5; JEB 062680 Following Dermal Application to New Zealand White Rabbits, December 1980",https://chemview.epa.gov/chemview/,,174667,ToxVal00045_fedab2430298132b
,"4,5,6,7-Tetrabromo-1,3-Isobenzofurandione",632-79-1,O=C(c(c1c(c(Br)c2Br)Br)c2Br)OC1=O,DTXSID6026084,,942,942_HPVIS,HPVIS,-,acute,human health,rat,oral,=,10000,mg/kg,463.701,0.0216,1.6662,,"Drozdowski, D. Comparative inhalation toxicity tests. United States Testing Company,Inc., report #02396, 12 Jan 1978. Analytical data on the test materials and summation ofthe results are in Grand, A.F. and C. A. Megal, Velsicol Research project report, project#490111, report #264, 6 Mar 1978.",https://chemview.epa.gov/chemview/,,174668,ToxVal00045_ca90714ebb8ae83b
,N-(4-Methyl-2-pentyl)-N?-phenyl-p-phenylenediamine,793-24-8,,DTXSID9025114,,943,943_HPVIS,HPVIS,-,acute,human health,rat,oral,=,3580,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Monsanto Y-73-172 Younger Laboratories, 1973",https://chemview.epa.gov/chemview/,,174669,ToxVal00045_3e41639e0cca9594
,Benzoyl chloride,98-88-4,O=C(c1ccccc1)Cl,DTXSID9026631,,944,944_HPVIS,HPVIS,-,acute,human health,rat,oral,~,2618,mg/kg,140.569,0.0186,1.7299,,Source: Bayer Corporation PittsburghATOFINA Chemicals Inc. PhiladelphiaVelsicol Chem Corp. 1974. Acute toxicity studies in rats and rabbits. EPA-OTS0107. Report # 163-281.,https://chemview.epa.gov/chemview/,,174670,ToxVal00045_4cf52525c897e322
,"Extracts, petroleum, light naphtha solvent",64741-99-7,,DTXSID8028181,,945,945_HPVIS,HPVIS,-,acute,not specified,-,-,=,810,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Category Summary Report for High Benzene Naphthas Category, Olefins Panel of the American Chemistry Council, December 10, 2004.",https://chemview.epa.gov/chemview/,,174672,ToxVal00045_589b479a77ea4b00
,"Aromatic hydrocarbons, C6-8, naphtha-raffinate pyrolyzate-derived",68475-70-7,,DTXSID3029786,,946,946_HPVIS,HPVIS,-,acute,not specified,-,-,=,810,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Category Summary Report for High Benzene Naphthas Category, Olefins Panel of the American Chemistry Council, December 10, 2004.",https://chemview.epa.gov/chemview/,,174673,ToxVal00045_089eed56290a8471
,"Hydrocarbons, C5 and C10-aliph. and C6-8-arom.",68606-28-0,,DTXSID9028754,,947,947_HPVIS,HPVIS,-,acute,not specified,-,-,=,810,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Category Summary Report for High Benzene Naphthas Category, Olefins Panel of the American Chemistry Council, December 10, 2004.",https://chemview.epa.gov/chemview/,,174674,ToxVal00045_3da8822f42411cfe
,"Gasoline, pyrolysis, debutanizer bottoms",68606-10-0,,DTXSID5028748,,948,948_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Rodriguez, S.C. and Dalbey, W.E. 1994. Dermal toxicity of dripolene in the New Zealand White rabbit. Study #65643. Stonybrook Laboratories, Princeton, NJ. for Mobil Chemical Co., Edison, NJ.Last changed: 10/23/2001 (Prepared by a contractor to the Olefins Panel)",https://chemview.epa.gov/chemview/,,174675,ToxVal00045_61c5028eba63041a
,"Distillates, petroleum, light arom.",67891-80-9,,DTXSID8028345,,949,949_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Rodriguez, S.C. and Dalbey, W.E. 1994. Dermal toxicity of dripolene in the New Zealand White rabbit. Study #65643. Stonybrook Laboratories, Princeton, NJ. for Mobil Chemical Co., Edison, NJ.Last changed: 10/23/2001 (Prepared by a contractor to the Olefins Panel)",https://chemview.epa.gov/chemview/,,174676,ToxVal00045_d2d7412a85b6b833
,"Aromatic hydrocarbons, ethane cracking scrubber effluent and flare drum",68526-77-2,,DTXSID8028682,,950,950_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Rodriguez, S.C. and Dalbey, W.E. 1994. Dermal toxicity of dripolene in the New Zealand White rabbit. Study #65643. Stonybrook Laboratories, Princeton, NJ. for Mobil Chemical Co., Edison, NJ.Last changed: 10/23/2001 (Prepared by a contractor to the Olefins Panel)",https://chemview.epa.gov/chemview/,,174677,ToxVal00045_a56476f405f7b355
,"1,4-Dichlorobenzene",106-46-7,Clc(cc1)ccc1Cl,DTXSID1020431,,951,951_HPVIS,HPVIS,-,acute,human health,rat,oral,=,3863,mg/kg,147.004,0.0263,1.5804,,Gaines TB and Linder RE. 1986. Acute toxicity of pesticides in adult and weanling rats Fund Appl Toxicol 7:299-308.,https://chemview.epa.gov/chemview/,,174678,ToxVal00045_8961ea0f9df9a1b1
,"1,4-Dichlorobenzene",106-46-7,Clc(cc1)ccc1Cl,DTXSID1020431,,952,952_HPVIS,HPVIS,-,acute,human health,rat,dermal,>,6000,mg/kg,147.004,0.0408,1.3892,,Gaines TB and Linder RE. 1986. Acute toxicity of pesticides in adult and weanling rats Fund Appl Toxicol 7:299-308.,https://chemview.epa.gov/chemview/,,174679,ToxVal00045_8961ea0f9df9a1b1
,2-Pyrrolidinone,616-45-5,O=C1NCCC1,DTXSID8027246,,953,953_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,85.1056,0.0235,1.6289,,"MB Research Laboratories Inc project number MB-92-1432 Sponsored by International Specialty Products, 4/29/1992.",https://chemview.epa.gov/chemview/,,174680,ToxVal00045_fbaca57f2aa3f88c
,2-Pyrrolidinone,616-45-5,O=C1NCCC1,DTXSID8027246,,954,954_HPVIS,HPVIS,-,acute,human health,rat,oral,~,8000,mg/kg,85.1056,0.0940,1.0269,,"BASF AG: Abt. Toxikologie, unveroeffentlichte Untersuchung,(XI/407), 07.11.1961",https://chemview.epa.gov/chemview/,,174681,ToxVal00045_fbaca57f2aa3f88c
,Bis(dimethylaminothiocarbonyl) disulfide,137-26-8,CN(C)C(SSC(N(C)C)=S)=S,DTXSID5021332,,955,955_HPVIS,HPVIS,-,acute,human health,rat,dermal,>,2000,mg/kg,240.439,0.0083,2.0800,,"Study sponsored by the Thiram Task Force. NOTOX, 1985.Posting date of document from which data were extracted for entry into HPVIS: July 25, 2003.",https://chemview.epa.gov/chemview/,,174682,ToxVal00045_d22662792207a524
,Styrenated phenol,61788-44-1,C=Cc(cc1)cc(C=C)c1O,DTXSID8028052,,956,956_HPVIS,HPVIS,-,acute,human health,rat,oral,=,2500,mg/kg,146.188,0.0171,1.7670,,"Wisconsin Alumni Research Foundation, Acute Oral Determinations to The Goodyear Tire & Rubber Company, 1956.Posting dates that documents were posted on HPV Website:Original test plan and robust summary submission for hindered phenols: December 20, 2001",https://chemview.epa.gov/chemview/,,174685,ToxVal00045_b812e73cdd3882f3
,"4,4'-Thiobis(6-tert-butyl-m-cresol)",96-69-5,CC(C)(C)c1cc(Sc(cc2C(C)(C)C)c(C)cc2O)c(C)cc1O,DTXSID4021341,,957,957_HPVIS,HPVIS,-,acute,human health,rat,oral,=,4150,mg/kg,358.544,0.0116,1.9365,,"Monsanto Y-73-191 Younger Laboratories, 1973",https://chemview.epa.gov/chemview/,,174686,ToxVal00045_63b1225b3f856d36
,1-Naphthol,90-15-3,Oc1cccc2ccccc12,DTXSID6021793,,958,958_HPVIS,HPVIS,-,acute,human health,rat,oral,=,2400,mg/kg,144.173,0.0166,1.7787,,CIRS SpA Cavanella Po-AdriaEUROPEAN COMMISSION -European Chemicals Bureau lspra (VA),https://chemview.epa.gov/chemview/,,174687,ToxVal00045_9b30a3f0ecc72f3f
,"Naphtha, petroleum, light steam-cracked arom., C5-12 cycloalkadiene fraction, polymers",68527-24-2,,DTXSID2029795,,959,959_HPVIS,HPVIS,-,acute,human health,rat,oral,=,346,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"ECETOC (European Centre for Ecotoxicology and Toxicology of Chemicals) report on Dicyclopentadiene. 1991. Programme for the Joint Assessment of Commodity Chemicals. Jacc Report No. 19. Brussels, Belgium.US High Production Volume Chemical Program, Category Summary for Resin Oils and Cyclodiene Dimer Concentrates Category, Prepared by the Olefins Panel of the American Chemistry Council, 3/30/2005.",https://chemview.epa.gov/chemview/,,174689,ToxVal00045_af8e153a4ec20573
,"Hexanedioic acid, di-C7-9-branched and linear alkyl esters",68515-75-3,,DTXSID2047517,,960,960_HPVIS,HPVIS,-,acute,human health,rat,oral,>,15800,mg/kg,,#¡DIV/0!,#¡DIV/0!,,Solutia Study no. Y-70-112. 1970. Acute Toxicological Investigation of Santicizer 97A [EPA Document no. 88-920007905],https://chemview.epa.gov/chemview/,,174691,ToxVal00045_c6fa4b7be2d30636
,"Phenol, isobutylenated methylstyrenated",68457-74-9,,DTXSID7028512,,961,961_HPVIS,HPVIS,-,acute,human health,rat,oral,=,1541,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Acute Toxicity Studies of WINGSTAY C in Rabbits and Rats, Study # 255-099, International Research and Development Corporation, 9/28/1977.Posting dates that documents were posted on HPV Website:Original test plan and robust summary submission for hindered phenols: December 20, 2001",https://chemview.epa.gov/chemview/,,174692,ToxVal00045_2c8368c7b099047c
,"Octadecyl 3-(3,5-di-tert-butyl-4-hydroxyphenyl)propionate",2082-79-3,CCCCCCCCCCCCCCCCCCOC(CCc(cc1C(C)(C)C)cc(C(C)(C)C)c1O)=O,DTXSID8027456,,962,962_HPVIS,HPVIS,-,acute,human health,hamster,oral,>,6000,mg/kg,530.874,0.0113,1.9468,,"Posting dates that documents were posted on HPV Website: Original test plan and robust summary submission for hindered phenols: December 20, 2001",https://chemview.epa.gov/chemview/,,174694,ToxVal00045_b6037df266006754
,gamma-Butyrolactone,96-48-0,O=C1OCCC1,DTXSID6020224,,963,963_HPVIS,HPVIS,-,acute,human health,rat,oral,=,1.5,-,86.0896,0.0000,4.7589,,"Industrial Toxicology Laboratories, Laboratory report on acute-oral toxicity of gammabutyrolactonein rats and guinea pigs. Dated may 17, 1952, sponsored by General Aniline and Film Corp.",https://chemview.epa.gov/chemview/,,174696,ToxVal00045_9678314f0786d7c2
,N-Phenyl-1-naphthylamine,90-30-2,c(cc1)ccc1Nc1cccc2ccccc12,DTXSID2025892,,964,964_HPVIS,HPVIS,-,acute,human health,rat,oral,=,2380,mg/kg,219.286,0.0109,1.9644,,"Union Carbide Chem. & Plas. Co. (1974) Phenyl alpha naphthylamine (PANA), Range finding toxicity studies. NTIS/OTS 0535072, Doc I.D. 86-920000742 (1991).Source: Bayer AG Leverkusen",https://chemview.epa.gov/chemview/,,174697,ToxVal00045_842568c80cda67b0
,Methylcyclopentadiene dimer,26472-00-4,CC1=CC2C(C3)C(C)=CC3C2C1,DTXSID3027902,,965,965_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,3160,mg/kg,160.259,0.0197,1.7051,,"Cerven, D.R. 1978. Acute dermal toxicity in albino rabbits. Project #MB78-3290. MB Research Laboratories, Inc. Spinnerstown, PA. for Exxon Corp.Dodd, D.E., Fait, D.W. and Eisler, D.L. 1981. Four-hour acute LC50 inhalation study in rats and mice. Proj. Rpt. #44-521. Bushy Run Research Center, Export, PA for Exxon Corp., East Millstone, NJ.Revised 11/21/2001 (Prepared by a contractor to the Olefins Panel)",https://chemview.epa.gov/chemview/,,174698,ToxVal00045_5c257ef281febba7
,"2,4,6-Tribromophenol",118-79-6,Oc(c(Br)cc(Br)c1)c1Br,DTXSID6021959,,966,966_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,330.801,0.0060,2.2185,,"International Research and Development Corp., #274-012, April, 1973.",https://chemview.epa.gov/chemview/,,174700,ToxVal00045_b857e4da6bf49e30
,"1,3-Dichlorobenzene",541-73-1,Clc1cccc(Cl)c1,DTXSID6022056,,967,967_HPVIS,HPVIS,-,acute,human health,rat,oral,=,1000,mg/kg,147.004,0.0068,2.1673,,"Birch MD. 1980. Nonclinical Laboratory Study Final Report. Test material: mdichlorobenzene. Younger Laboratories Incorporated Project Number Y-79-90. Dated November 15, 1980.",https://chemview.epa.gov/chemview/,,174703,ToxVal00045_02c56e2f31e080d2
,Chlorobenzene,108-90-7,Clc1ccccc1,DTXSID4020298,,968,968_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,7940,mg/kg,112.559,0.0705,1.1516,,"Birch MD. 1976. Younger Laboratories report on acute oral, dermal and inhalation toxicity and skin and eye irritation for monochlorobenzene (technical). Project No. Y-76-147, dated May 26, 1976.",https://chemview.epa.gov/chemview/,,174704,ToxVal00045_5e47ca272f4dd37a
,Tetraethylthiuram disulfide,97-77-8,CCN(CC)C(SSC(N(CC)CC)=S)=S,DTXSID1021322,,969,969_HPVIS,HPVIS,-,acute,human health,rat,oral,=,500,mg/kg,296.547,0.0017,2.7731,,"Source: Akzo Nobel Chemicals b.v. AmersfoortRTECS, Registry of Toxic Effects of Chemical Substances. Search 06-feb-95. HSDB, Hazardous Substances Data Bank, Search 06-feb-95.Posting dates of documents from HPV Challenge web site from which data have been entered into the HPVIS: July 25, 2003",https://chemview.epa.gov/chemview/,,174706,ToxVal00045_957146e40d0f8e41
,1-Chloro-3-nitrobenzene,121-73-3,[O-][N+](c1cccc(Cl)c1)=O,DTXSID4021971,,970,970_HPVIS,HPVIS,-,acute,human health,rat,oral,=,400,mg/kg,157.556,0.0025,2.5954,,Solutia Study No. YO-83-15. Nonclinical Laboratory Study: m-Nitrochlorobenzene.Posting dates of documents from HPV Challenge web site from which data have been entered into the HPVIS: 04/23/2003,https://chemview.epa.gov/chemview/,,174707,ToxVal00045_caf61df17ad62f0d
,Distearyl thiodipropionate,693-36-7,CCCCCCCCCCCCCCCCCCOC(CCSCCC(OCCCCCCCCCCCCCCCCCC)=O)=O,DTXSID3027299,,971,971_HPVIS,HPVIS,-,acute,human health,rat,oral,>,2500,mg/kg,683.175,0.0037,2.4366,,"AFREAW Advances in Food Research (1951). Academic Press, Inc., 1 E. Fist St., Duluth, MN 55802 V3:197.Tullar, P.E. (1947). The pharmacology and toxicology of thiodipropionic acid and its dilauryl and distearyl esters. Final Report. The Kalusowski Memorial Research Laboratories, School of Pharmacy, The George Washington University,Washington, D.C. Unpublished data. FDA FOIA request #F88-8055. Document #001974-002031.Posting dates that documents were posted on HPV Website: Revised test plan and robust summary submission for thiobis, propanoic acid derivs.: Feb. 24, 2003.",https://chemview.epa.gov/chemview/,,174709,ToxVal00045_54997a93ceaa6f79
,Distearyl thiodipropionate,693-36-7,CCCCCCCCCCCCCCCCCCOC(CCSCCC(OCCCCCCCCCCCCCCCCCC)=O)=O,DTXSID3027299,,972,972_HPVIS,HPVIS,-,acute,human health,mouse,oral,>,2000,mg/kg,683.175,0.0029,2.5335,,"AFREAW Advances in Food Research (1951). Academic Press, Inc., 1 E. Fist St., Duluth, MN 55802 V3:197. Tullar, P.E. (1947). The pharmacology and toxicology of thiodipropionic acid and its dilauryl and distearyl esters. Final Report. The Kalusowski Memorial Research Laboratories, School of Pharmacy, The George Washington University, Washington, D.C. Unpublished data. FDA FOIA request #F88-8055. Document #001974-002031.Posting dates that documents were posted on HPV Website: Revised test plan and robust summary submission for thiobis, propanoic acid derivs.: Feb. 24, 2003.",https://chemview.epa.gov/chemview/,,174711,ToxVal00045_54997a93ceaa6f79
,Allyl alcohol,107-18-6,C=CCO,DTXSID8020044,,973,973_HPVIS,HPVIS,-,acute,human health,rat,oral,=,99,mg/kg,58.0796,0.0017,2.7684,,"Dunlap, MK, Kodama, JK, Wellington, JS, Anderson, HH and Hine, CH (1958) The toxicity of allyl alcohol. AMA Archives of Industrial Health 18, 303-311.Posting dates of documents from HPV Challenge web site from which data have been entered into the HPVIS: October 11, 2005",https://chemview.epa.gov/chemview/,,174712,ToxVal00045_e884b381999e96ea
,Allyl alcohol,107-18-6,C=CCO,DTXSID8020044,,974,974_HPVIS,HPVIS,-,acute,human health,mouse,oral,=,96,mg/kg,58.0796,0.0017,2.7818,,"Dunlap, MK, Kodama, JK, Wellington, JS, Anderson, HH and Hine, CH (1958) The toxicity of allyl alcohol. AMA Archives of Industrial Health 18, 303-311.Posting dates of documents from HPV Challenge web site from which data have been entered into the HPVIS: October 11, 2005",https://chemview.epa.gov/chemview/,,174713,ToxVal00045_e884b381999e96ea
,"1,2,4-Trichlorobenzene",120-82-1,Clc(cc1)cc(Cl)c1Cl,DTXSID0021965,,975,975_HPVIS,HPVIS,-,acute,human health,rat,oral,=,756,mg/kg,181.449,0.0042,2.3802,,"Brown VKH, Muir C, Thorpe E. 1969. The acute toxicity and skin irritant properties of 1,2,4-trichlorobenzene. Ann Occup Hyg 12:209-212",https://chemview.epa.gov/chemview/,,174715,ToxVal00045_b87b867803bd421c
,"Naphtha, petroleum, light steam-cracked",64742-83-2,,DTXSID5028241,,976,976_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Rodriguez, S.C. and Dalbey, W.E. 1994. Dermal toxicity of pyrolysis gasoline in the New Zealand White rabbit. Study #65637. Stonybrook Laboratories, Princeton, NJ. for Mobil Chemical Co., Edison, NJ.Last Changed: 10/16/2001 (Prepared by a contractor to the Olefins Panel)",https://chemview.epa.gov/chemview/,,174716,ToxVal00045_4cbafe45846b4f42
,2-Ethylhexanoic acid,149-57-5,CCCCC(CC)C(O)=O,DTXSID9025293,,977,977_HPVIS,HPVIS,-,acute,human health,rat,oral,=,3640,mg/kg,144.213,0.0252,1.5979,,"Posting dates of document from HPV Challenge website from which data have been entered into the HPVIS: 21st March, 2006.Source: BASF AG LudwigshafenReference: BASF AG: Abt. Toxikologie, unveroeffentlichte Untersuchungen (XVI/366) 15.03.1967. TSCATS/OTS 0206619, Doc I.D. 878214684, 24.05.1978.",https://chemview.epa.gov/chemview/,,174717,ToxVal00045_2a59c2a0ad087b1c
,Zinc 2-mercaptobenzothiazolate,155-04-4,[O-]C(C1(S)Sc(cccc2)c2N1)=O.[O-]C(C1(S)Sc(cccc2)c2N1)=O.[Zn+2],DTXSID6020808,,978,978_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,7940,mg/kg,489.935,0.0162,1.7903,,"Younger Laboratories data. 1975. Project No. Y-74-288. Monsanto Y-74-288. Acute Dermal Toxicity of Bantex. January 28, 1975. NTIS/OTS0206761, Doc. I.D. 878215076RRS1 dated: Jun. 18, 2003CBIC Received: Jul. 23, 2003Posted to HPV Challenge Website: Aug. 22, 2003",https://chemview.epa.gov/chemview/,,174719,ToxVal00045_a7555be81bbd3669
,Phosphoric acid,7664-38-2,OP(O)(O)=O,DTXSID5024263,,979,979_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,~,2730,mg/kg,97.9938,0.0279,1.5550,,"Posting dates of document from HPV Challenge website from which data have been entered into the HPVIS: 21st March, 2006.Source: Stickstoffwerke AG Lu. WittenbergReference: TRGS 900 (1993).",https://chemview.epa.gov/chemview/,,174720,ToxVal00045_387e09b134426382
,"Aromatic hydrocarbons, biphenyl-rich, thermal hydrodealkylation residues",68989-41-3,,DTXSID3029528,,980,980_HPVIS,HPVIS,-,acute,human health,rabbit,dermal,>,2000,mg/kg,,#¡DIV/0!,#¡DIV/0!,,"Rausina, G.A. 1983. Acute dermal toxicity study in albino rabbits with Biphenyl feedstock. Proj. #2037. Gulf Life Sciences Center, Pittsburgh, PA for Gulf Oil Chemicals Co., Houston, TX, USA. Unpublished report.",https://chemview.epa.gov/chemview/,,174721,ToxVal00045_e6a8a684c6d375ec
,2-Ethyl-1-hexanol,104-76-7,CCCCC(CC)CO,DTXSID5020605,,981,981_HPVIS,HPVIS,-,acute,human health,mouse,oral,=,2500,mg/kg,130.23,0.0192,1.7168,,"Posting dates of document from HPV Challenge website from which data have been entered into the HPVIS: 21st March, 2006.Reference: Schmidt P, et al. (1974). Z Ges Hyg 20, 575-578.Source: Neste 0x0 AB StenungsundNeste 0x0 AB StenungsundECB -Existing Chemicals Ispra (VA)Hoechst AG Frankfurt/MainNeste 0x0 AB StenungsundECB -Existing Chemicals Ispra (VA)Hoechst AG Frankfurt/MainCelanese GmbH Frankfurt am Main",https://chemview.epa.gov/chemview/,,174722,ToxVal00045_889e3aebeba4f421
,2-Ethyl-1-hexanol,104-76-7,CCCCC(CC)CO,DTXSID5020605,,982,982_HPVIS,HPVIS,-,acute,human health,mouse,oral,=,3580,mg/kg,130.23,0.0275,1.5608,,"Posting date of the document from the HPV Challenge Program website from which data have been entered into the HPVIS: 21st March, 2006.Reference: Schmidt P, et al. (1974). Z Ges Hyg 20, 575-578.Source:Neste 0x0 AB StenungsundNeste 0x0 AB StenungsundECB -Existing Chemicals Ispra (VA)Hoechst AG Frankfurt/MainNeste 0x0 AB StenungsundECB -Existing Chemicals Ispra (VA)Hoechst AG Frankfurt/MainCelanese GmbH Frankfurt am Main",https://chemview.epa.gov/chemview/,,174724,ToxVal00045_889e3aebeba4f421
,Bis(2-ethylhexyl) phosphate,298-07-7,CCCCC(CC)COP([O-])(OCC(CC)CCCC)=O,DTXSID1027134,,983,983_HPVIS,HPVIS,-,acute,human health,rat,injection,=,50,mg/kg,321.416,0.0002,3.8081,,"Posting datesm of document from HPV Challenge website from which data have been entered into the HPVIS: 21st March, 2006.Source: Bayer AG Leverkusen Bayer Corporation PittsburghDave G, Lidman U (1978). Biological and toxicological effects of solvent extraction chemicals, Hydrometallurgy 3, 201 -216",https://chemview.epa.gov/chemview/,,174727,ToxVal00045_af815697d9afc55f
,"2,2'-Dithiobisbenzothiazole",120-78-5,c(cc1)cc2c1[s]c(SSc1nc(cccc3)c3[s]1)n2,DTXSID1020146,,984,984_HPVIS,HPVIS,-,acute,human health,mouse,oral,=,4631,mg/kg,332.496,0.0139,1.8561,,"Vaisman, Y.I. et al., Gig. Sanit. 30, 17-21 (1973)",https://chemview.epa.gov/chemview/,,174728,ToxVal00045_d496626abd769c54
